latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
11.83176,98.26984,328.64,0.56,0.68,2023-01-12,558,N,VIIRS,n,2,285.85,3.98,D,0
11.83791,98.26788,342.24,0.56,0.68,2023-01-12,558,N,VIIRS,n,2,286.59,8.94,D,0
14.20197,99.57521,331.04,0.41,0.61,2023-01-12,559,N,VIIRS,n,2,292.5,3.99,D,0
14.20217,99.2431,367,0.43,0.62,2023-01-12,559,N,VIIRS,h,2,290.24,8.27,D,0
14.89747,100.20947,336.79,0.36,0.58,2023-01-12,559,N,VIIRS,n,2,294.18,7.7,D,0
14.89815,100.21285,367,0.36,0.58,2023-01-12,559,N,VIIRS,h,2,294.73,7.7,D,0
14.89927,100.21008,354.81,0.36,0.58,2023-01-12,559,N,VIIRS,n,2,295.31,10.17,D,0
14.89992,100.21346,367,0.36,0.58,2023-01-12,559,N,VIIRS,h,2,294.59,10.17,D,0
14.9817,100.14841,332.95,0.37,0.58,2023-01-12,559,N,VIIRS,n,2,293.92,2.47,D,0
14.98488,100.79414,335.47,0.33,0.55,2023-01-12,559,N,VIIRS,n,2,295.28,5.12,D,0
15.01364,99.83469,367,0.38,0.59,2023-01-12,559,N,VIIRS,h,2,295.16,4.88,D,0
15.01488,100.38957,340.78,0.35,0.57,2023-01-12,559,N,VIIRS,n,2,294.7,2.78,D,0
15.55528,100.58074,331.58,0.33,0.56,2023-01-12,559,N,VIIRS,n,2,296.38,1.55,D,0
15.5559,100.58387,331.37,0.33,0.56,2023-01-12,559,N,VIIRS,n,2,296.88,1.55,D,0
15.70473,100.54472,352.44,0.33,0.56,2023-01-12,559,N,VIIRS,n,2,297.93,5.5,D,0
15.70688,100.58308,345.42,0.33,0.55,2023-01-12,559,N,VIIRS,n,2,298.72,5.88,D,0
15.71195,100.58202,337.82,0.33,0.55,2023-01-12,559,N,VIIRS,n,2,297.75,4.39,D,0
15.75258,100.71977,334.24,0.32,0.55,2023-01-12,559,N,VIIRS,n,2,296.7,4.63,D,0
15.75312,100.71402,337.03,0.32,0.55,2023-01-12,559,N,VIIRS,n,2,292.77,3.37,D,0
15.75371,100.71706,354.82,0.32,0.55,2023-01-12,559,N,VIIRS,n,2,295.45,5.75,D,0
15.75429,100.72012,350.53,0.32,0.55,2023-01-12,559,N,VIIRS,n,2,297.1,5.75,D,0
15.75639,100.71267,331.39,0.32,0.55,2023-01-12,559,N,VIIRS,n,2,296.34,2.52,D,0
15.757,100.71571,351.06,0.32,0.55,2023-01-12,559,N,VIIRS,n,2,296.93,4.63,D,0
15.7576,100.71874,354.51,0.32,0.55,2023-01-12,559,N,VIIRS,n,2,296.76,4.63,D,0
15.84499,100.58429,347.74,0.33,0.55,2023-01-12,559,N,VIIRS,n,2,297.65,3.42,D,0
15.91783,100.40827,335.39,0.34,0.56,2023-01-12,559,N,VIIRS,n,2,296.45,2.7,D,0
15.92558,100.48373,331.93,0.33,0.56,2023-01-12,559,N,VIIRS,n,2,297.55,3.11,D,0
15.93244,100.5864,335,0.33,0.55,2023-01-12,559,N,VIIRS,n,2,295.24,2.26,D,0
16.05462,98.76215,352.04,0.43,0.62,2023-01-12,559,N,VIIRS,n,2,301.03,6.42,D,0
16.15026,95.50893,328.89,0.69,0.74,2023-01-12,559,N,VIIRS,n,2,297.25,2.68,D,0
16.28617,99.89641,335.78,0.36,0.57,2023-01-12,559,N,VIIRS,n,2,297.22,2.42,D,0
16.40912,96.25806,337.03,0.61,0.71,2023-01-12,559,N,VIIRS,n,2,300.55,6.52,D,0
16.41185,98.82929,338.69,0.42,0.61,2023-01-12,559,N,VIIRS,n,2,296.84,7.67,D,0
16.41512,96.2601,330.17,0.61,0.71,2023-01-12,559,N,VIIRS,n,2,299.49,3.7,D,0
16.4539,97.87529,328.51,0.48,0.65,2023-01-12,559,N,VIIRS,n,2,298.95,4.58,D,0
16.45485,97.87981,351.94,0.48,0.65,2023-01-12,559,N,VIIRS,n,2,299.26,4.58,D,0
16.45592,97.87553,346.19,0.48,0.65,2023-01-12,559,N,VIIRS,n,2,299.49,5.12,D,0
